Time,PosX,PosY,PosZ,VelX,VelY,VelZ,PosX_A,PosY_A,PosZ_A,VelX_A,VelY_A,VelZ_A
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,-9.81,0,0,-9.81,0,0,-4.905,0,0,-9.81,0
2,0,-29.43,0,0,-19.62,0,0,-19.62,0,0,-19.62,0
3,0,-58.86,0,0,-29.43,0,0,-44.145,0,0,-29.43,0
4,0,-98.1,0,0,-39.24,0,0,-78.48,0,0,-39.24,0
5,0,-147.15,0,0,-49.05,0,0,-122.625,0,0,-49.05,0
6,0,-206.01,0,0,-58.86,0,0,-176.58,0,0,-58.86,0
7,0,-274.68,0,0,-68.67,0,0,-240.345,0,0,-68.67,0
8,0,-353.16,0,0,-78.48,0,0,-313.92,0,0,-78.48,0
9,0,-441.45,0,0,-88.29,0,0,-397.305,0,0,-88.29,0
10,0,-539.55,0,0,-98.1,0,0,-490.5,0,0,-98.1,0
11,0,-647.46,0,0,-107.91,0,0,-593.505,0,0,-107.91,0
12,0,-765.18,0,0,-117.72,0,0,-706.32,0,0,-117.72,0
13,0,-892.71,0,0,-127.53,0,0,-828.945,0,0,-127.53,0
14,0,-1030.05,0,0,-137.34,0,0,-961.38,0,0,-137.34,0
15,0,-1177.2,0,0,-147.15,0,0,-1103.63,0,0,-147.15,0
16,0,-1334.16,0,0,-156.96,0,0,-1255.68,0,0,-156.96,0
17,0,-1500.93,0,0,-166.77,0,0,-1417.55,0,0,-166.77,0
18,0,-1677.51,0,0,-176.58,0,0,-1589.22,0,0,-176.58,0
19,0,-1863.9,0,0,-186.39,0,0,-1770.71,0,0,-186.39,0
20,0,-2060.1,0,0,-196.2,0,0,-1962,0,0,-196.2,0
21,0,-2266.11,0,0,-206.01,0,0,-2163.1,0,0,-206.01,0
22,0,-2481.93,0,0,-215.82,0,0,-2374.02,0,0,-215.82,0
23,0,-2707.56,0,0,-225.63,0,0,-2594.75,0,0,-225.63,0
