Time,PosY_Analytique,PosY_explicite,PosY_semi_explicite,PosY_mid_point,PosY_verlet,Err_Explocite,Err_Semi,Err_Midpoint,Err_Verlet
0,0,0,0,0,0,0,0,0,0
1,-4.905,0,-9.81,-4.905,-4.905,4.905,-4.905,0,0
2,-19.62,-9.81,-29.43,-19.62,-19.62,9.81,-9.81,0,0
3,-44.145,-29.43,-58.86,-44.145,-44.145,14.715,-14.715,0,0
4,-78.48,-58.86,-98.1,-78.48,-78.48,19.62,-19.62,0,0
5,-122.625,-98.1,-147.15,-122.625,-122.625,24.525,-24.525,0,0
6,-176.58,-147.15,-206.01,-176.58,-176.58,29.43,-29.43,0,0
7,-240.345,-206.01,-274.68,-240.345,-240.345,34.335,-34.335,0,0
8,-313.92,-274.68,-353.16,-313.92,-313.92,39.24,-39.24,0,0
9,-397.305,-353.16,-441.45,-397.305,-397.305,44.145,-44.145,0,0
10,-490.5,-441.45,-539.55,-490.5,-490.5,49.05,-49.05,0,0
11,-593.505,-539.55,-647.46,-593.505,-593.505,53.955,-53.955,0,0
12,-706.32,-647.46,-765.18,-706.32,-706.32,58.86,-58.86,0,0
13,-828.945,-765.18,-892.71,-828.945,-828.945,63.765,-63.765,0,0
14,-961.38,-892.71,-1030.05,-961.38,-961.38,68.67,-68.67,0,0
15,-1103.63,-1030.05,-1177.2,-1103.62,-1103.62,73.58,-73.57,0.01,0.01
16,-1255.68,-1177.2,-1334.16,-1255.68,-1255.68,78.48,-78.48,0,0
17,-1417.55,-1334.16,-1500.93,-1417.54,-1417.55,83.39,-83.38,0.01,0
18,-1589.22,-1500.93,-1677.51,-1589.22,-1589.22,88.29,-88.29,0,0
19,-1770.71,-1677.51,-1863.9,-1770.7,-1770.71,93.2,-93.19,0.01,0
20,-1962,-1863.9,-2060.1,-1962,-1962,98.1,-98.1,0,0
21,-2163.1,-2060.1,-2266.11,-2163.1,-2163.11,103,-103.01,0,-0.01
22,-2374.02,-2266.11,-2481.93,-2374.02,-2374.02,107.91,-107.91,0,0
23,-2594.75,-2481.93,-2707.56,-2594.75,-2594.75,112.82,-112.81,0,0
24,-2825.28,-2707.56,-2943,-2825.28,-2825.28,117.72,-117.72,0,0
25,-3065.63,-2943,-3188.25,-3065.62,-3065.63,122.63,-122.62,0.01,0
26,-3315.78,-3188.25,-3443.31,-3315.78,-3315.79,127.53,-127.53,0,-0.01
27,-3575.75,-3443.31,-3708.18,-3575.75,-3575.75,132.44,-132.43,0,0
28,-3845.52,-3708.18,-3982.86,-3845.52,-3845.53,137.34,-137.34,0,-0.01
29,-4125.11,-3982.86,-4267.35,-4125.1,-4125.11,142.25,-142.24,0.01,0
30,-4414.5,-4267.35,-4561.65,-4414.5,-4414.51,147.15,-147.15,0,-0.01
31,-4713.71,-4561.65,-4865.76,-4713.71,-4713.71,152.06,-152.05,0,0
32,-5022.72,-4865.76,-5179.68,-5022.72,-5022.73,156.96,-156.96,0,-0.01
33,-5341.55,-5179.68,-5503.41,-5341.54,-5341.56,161.87,-161.86,0.01,-0.01
34,-5670.18,-5503.41,-5836.95,-5670.18,-5670.19,166.77,-166.77,0,-0.01
35,-6008.62,-5836.95,-6180.3,-6008.62,-6008.64,171.67,-171.68,0,-0.02
36,-6356.88,-6180.3,-6533.46,-6356.88,-6356.9,176.58,-176.58,0,-0.02
37,-6714.94,-6533.46,-6896.43,-6714.94,-6714.96,181.48,-181.49,0,-0.02
38,-7082.82,-6896.43,-7269.21,-7082.82,-7082.84,186.39,-186.39,0,-0.02
39,-7460.51,-7269.21,-7651.8,-7460.5,-7460.53,191.3,-191.29,0.01,-0.02
40,-7848,-7651.8,-8044.2,-7848,-7848.02,196.2,-196.2,0,-0.02
41,-8245.31,-8044.2,-8446.41,-8245.3,-8245.33,201.11,-201.1,0.01,-0.02
42,-8652.42,-8446.41,-8858.43,-8652.42,-8652.44,206.01,-206.01,0,-0.02
43,-9069.35,-8858.43,-9280.26,-9069.34,-9069.37,210.92,-210.91,0.01,-0.02
44,-9496.08,-9280.26,-9711.9,-9496.08,-9496.11,215.82,-215.82,0,-0.03
45,-9932.62,-9711.9,-10153.3,-9932.62,-9932.65,220.72,-220.68,0,-0.03
46,-10379,-10153.3,-10604.6,-10379,-10379,225.7,-225.6,0,0
47,-10835.1,-10604.6,-11065.7,-10835.1,-10835.2,230.5,-230.6,0,-0.1
