Time,PosX,PosY,PosZ,VelX,VelY,VelZ,PosX_A,PosY_A,PosZ_A,VelX_A,VelY_A,VelZ_A
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,-4.905,0,0,-4.905,0,0,-4.905,0,0,-9.81,0
2,0,-19.62,0,0,-14.715,0,0,-19.62,0,0,-19.62,0
3,0,-44.145,0,0,-24.525,0,0,-44.145,0,0,-29.43,0
4,0,-78.48,0,0,-34.335,0,0,-78.48,0,0,-39.24,0
5,0,-122.625,0,0,-44.145,0,0,-122.625,0,0,-49.05,0
6,0,-176.58,0,0,-53.955,0,0,-176.58,0,0,-58.86,0
7,0,-240.345,0,0,-63.765,0,0,-240.345,0,0,-68.67,0
8,0,-313.92,0,0,-73.575,0,0,-313.92,0,0,-78.48,0
9,0,-397.305,0,0,-83.385,0,0,-397.305,0,0,-88.29,0
10,0,-490.5,0,0,-93.195,0,0,-490.5,0,0,-98.1,0
11,0,-593.505,0,0,-103.005,0,0,-593.505,0,0,-107.91,0
12,0,-706.32,0,0,-112.815,0,0,-706.32,0,0,-117.72,0
13,0,-828.945,0,0,-122.625,0,0,-828.945,0,0,-127.53,0
14,0,-961.38,0,0,-132.435,0,0,-961.38,0,0,-137.34,0
15,0,-1103.62,0,0,-142.245,0,0,-1103.63,0,0,-147.15,0
16,0,-1255.68,0,0,-152.055,0,0,-1255.68,0,0,-156.96,0
17,0,-1417.55,0,0,-161.865,0,0,-1417.55,0,0,-166.77,0
18,0,-1589.22,0,0,-171.675,0,0,-1589.22,0,0,-176.58,0
19,0,-1770.71,0,0,-181.485,0,0,-1770.71,0,0,-186.39,0
20,0,-1962,0,0,-191.295,0,0,-1962,0,0,-196.2,0
21,0,-2163.11,0,0,-201.105,0,0,-2163.1,0,0,-206.01,0
22,0,-2374.02,0,0,-210.916,0,0,-2374.02,0,0,-215.82,0
23,0,-2594.75,0,0,-220.726,0,0,-2594.75,0,0,-225.63,0
24,0,-2825.28,0,0,-230.536,0,0,-2825.28,0,0,-235.44,0
25,0,-3065.63,0,0,-240.346,0,0,-3065.63,0,0,-245.25,0
26,0,-3315.79,0,0,-250.156,0,0,-3315.78,0,0,-255.06,0
