Time,PosX,PosY,PosZ,VelX,VelY,VelZ,PosX_A,PosY_A,PosZ_A,VelX_A,VelY_A,VelZ_A
0,0,30,0,0,0,0,0,30,0,0,0,0
1,0,29,0,0,-1,0,0,28.0166,0,0,-9.81,0
2,0,26.1,0,0,-2.9,0,0,22.2631,0,0,-19.62,0
3,0,21.59,0,0,-4.51,0,0,13.3101,0,0,-29.43,0
4,0,15.921,0,0,-5.669,0,0,2.0455,0,0,-39.24,0
5,0,9.6599,0,0,-6.2611,0,0,-10.4137,0,0,-49.05,0
6,0,3.43281,0,0,-6.22709,0,0,-22.8319,0,0,-58.86,0
7,0,-2.13756,0,0,-5.57037,0,0,-33.9775,0,0,-68.67,0
8,0,-8.49418,0,0,-6.35661,0,0,-42.7453,0,0,-78.48,0
9,0,-15.0014,0,0,-6.5072,0,0,-48.2658,0,0,-88.29,0
10,0,-21.0084,0,0,-6.00706,0,0,-49.9914,0,0,-98.1,0
11,0,-25.9147,0,0,-4.90622,0,0,-47.7512,0,0,-107.91,0
12,0,-29.2294,0,0,-3.31475,0,0,-41.7672,0,0,-117.72,0
13,0,-30.6212,0,0,-1.39181,0,0,-32.6328,0,0,-127.53,0
14,0,-29.9509,0,0,0.670309,0,0,-21.254,0,0,-137.34,0
15,0,-27.2855,0,0,2.6654,0,0,-8.75911,0,0,-147.15,0
16,0,-22.8916,0,0,4.39395,0,0,3.61273,0,0,-156.96,0
17,0,-17.2085,0,0,5.68311,0,0,14.6346,0,0,-166.77,0
18,0,-10.8045,0,0,6.40395,0,0,23.2134,0,0,-176.58,0
19,0,-4.3201,0,0,6.4844,0,0,28.4986,0,0,-186.39,0
20,0,1.59631,0,0,5.91641,0,0,29.9658,0,0,-196.2,0
21,0,8.35309,0,0,6.75678,0,0,27.4696,0,0,-206.01,0
22,0,15.2746,0,0,6.92147,0,0,21.2576,0,0,-215.82,0
23,0,21.6686,0,0,6.39401,0,0,11.9458,0,0,-225.63,0
24,0,26.8957,0,0,5.22716,0,0,0.457667,0,0,-235.44,0
25,0,30.4333,0,0,3.53758,0,0,-12.0676,0,0,-245.25,0
26,0,31.9276,0,0,1.49425,0,0,-24.3878,0,0,-255.06,0
27,0,31.2291,0,0,-0.698505,0,0,-35.2811,0,0,-264.87,0
28,0,28.4076,0,0,-2.82141,0,0,-43.6674,0,0,-274.68,0
29,0,23.7455,0,0,-4.66218,0,0,-48.7149,0,0,-284.49,0
30,0,17.7087,0,0,-6.03672,0,0,-49.923,0,0,-294.3,0
31,0,10.9012,0,0,-6.8076,0,0,-47.172,0,0,-304.11,0
32,0,4.00344,0,0,-6.89771,0,0,-40.7347,0,0,-313.92,0
33,0,-2.29462,0,0,-6.29806,0,0,-31.2494,0,0,-323.73,0
34,0,-9.36321,0,0,-7.06859,0,0,-19.6568,0,0,-333.54,0
35,0,-16.4955,0,0,-7.13227,0,0,-7.10661,0,0,-343.35,0
36,0,-22.9782,0,0,-6.48273,0,0,5.15665,0,0,-353.16,0
37,0,-28.1631,0,0,-5.1849,0,0,15.9169,0,0,-362.97,0
38,0,-31.5317,0,0,-3.3686,0,0,24.1069,0,0,-372.78,0
39,0,-32.7471,0,0,-1.21542,0,0,28.9146,0,0,-382.59,0
40,0,-31.6878,0,0,1.05929,0,0,29.8632,0,0,-392.4,0
41,0,-28.4598,0,0,3.22808,0,0,26.8585,0,0,-402.21,0
42,0,-23.3857,0,0,5.07405,0,0,20.1986,0,0,-412.02,0
43,0,-16.9731,0,0,6.41262,0,0,10.5439,0,0,-421.83,0
44,0,-9.86316,0,0,7.10993,0,0,-1.14807,0,0,-431.64,0
45,0,-2.76691,0,0,7.09625,0,0,-13.7179,0,0,-441.45,0
46,0,3.60603,0,0,6.37294,0,0,-25.9191,0,0,-451.26,0
47,0,10.6184,0,0,7.01234,0,0,-36.5415,0,0,-461.07,0
48,0,17.5689,0,0,6.9505,0,0,-44.5319,0,0,-470.88,0
49,0,23.7625,0,0,6.19361,0,0,-49.0977,0,0,-480.69,0
50,0,28.5798,0,0,4.81737,0,0,-49.7863,0,0,-490.5,0
51,0,31.5392,0,0,2.95938,0,0,-46.5292,0,0,-500.31,0
52,0,32.3447,0,0,0.80546,0,0,-39.6496,0,0,-510.12,0
53,0,30.9157,0,0,-1.42901,0,0,-29.8297,0,0,-519.93,0
54,0,27.3951,0,0,-3.52057,0,0,-18.0432,0,0,-529.74,0
55,0,22.135,0,0,-5.26009,0,0,-5.45913,0,0,-539.55,0
56,0,15.6614,0,0,-6.47359,0,0,6.67468,0,0,-549.36,0
57,0,8.6217,0,0,-7.03973,0,0,17.1548,0,0,-559.17,0
58,0,1.7198,0,0,-6.9019,0,0,24.942,0,0,-568.98,0
59,0,-4.35408,0,0,-6.07388,0,0,29.2641,0,0,-578.79,0
60,0,-10.9926,0,0,-6.63847,0,0,29.6923,0,0,-588.6,0
61,0,-17.5318,0,0,-6.53922,0,0,26.1843,0,0,-598.41,0
62,0,-23.3178,0,0,-5.78604,0,0,19.0879,0,0,-608.22,0
63,0,-27.7721,0,0,-4.45426,0,0,9.10686,0,0,-618.03,0
64,0,-30.4491,0,0,-2.67705,0,0,-2.76896,0,0,-627.84,0
65,0,-31.0813,0,0,-0.632139,0,0,-15.3619,0,0,-637.65,0
66,0,-29.6053,0,0,1.47599,0,0,-27.4231,0,0,-647.46,0
67,0,-26.1688,0,0,3.43651,0,0,-37.7565,0,0,-657.27,0
68,0,-21.1154,0,0,5.05339,0,0,-45.3373,0,0,-667.08,0
69,0,-14.9504,0,0,6.16493,0,0,-49.4137,0,0,-676.89,0
70,0,-8.29047,0,0,6.65997,0,0,-49.5814,0,0,-686.7,0
71,0,-1.80145,0,0,6.48902,0,0,-45.8239,0,0,-696.51,0
72,0,3.86771,0,0,5.66916,0,0,-38.5138,0,0,-706.32,0
73,0,10.1501,0,0,6.28239,0,0,-28.3759,0,0,-716.13,0
74,0,16.4175,0,0,6.26738,0,0,-16.4158,0,0,-725.94,0
75,0,22.0431,0,0,5.62564,0,0,-3.81934,0,0,-735.75,0
76,0,26.4644,0,0,4.42132,0,0,8.16411,0,0,-745.56,0
77,0,29.2393,0,0,2.77488,0,0,18.3463,0,0,-755.37,0
78,0,30.0903,0,0,0.850946,0,0,25.7174,0,0,-765.18,0
79,0,28.9322,0,0,-1.15808,0,0,29.5464,0,0,-774.99,0
80,0,25.8809,0,0,-3.0513,0,0,29.4536,0,0,-784.8,0
81,0,21.2415,0,0,-4.63939,0,0,25.4482,0,0,-794.61,0
82,0,15.478,0,0,-5.76354,0,0,17.9274,0,0,-804.42,0
83,0,9.16663,0,0,-6.31134,0,0,7.63715,0,0,-814.23,0
84,0,2.93863,0,0,-6.228,0,0,-4.40219,0,0,-824.04,0
85,0,-2.58323,0,0,-5.52186,0,0,-16.9967,0,0,-833.85,0
86,0,-8.84677,0,0,-6.26354,0,0,-28.8973,0,0,-843.66,0
87,0,-15.2256,0,0,-6.37886,0,0,-38.924,0,0,-853.47,0
