Time,PosY_Analytique,PosY_Explicite,PosY_Semi_Explicite,PosY_Midpoint,PosY_Verlet
0,30,30,30,30,30
1,28.0166,30,28,29,29
2,22.2631,28,24.2,26.05,26.1
3,13.3101,24,18.98,21.3475,21.59
4,2.0455,18.2,12.862,15.2751,15.921
5,-10.4137,11,6.4578,8.37162,9.6599
6,-22.8319,2.98,0.407819,1.28577,3.43281
7,-33.9775,-5.14,-4.68294,-5.28294,-2.13756
8,-42.7453,-12.558,-10.3054,-11.6518,-8.49418
9,-48.2658,-20.462,-15.8973,-18.1739,-15.0014
10,-49.9914,-28.1102,-20.8995,-24.2047,-21.0084
11,-47.7512,-34.7122,-24.8118,-29.1166,-25.9147
12,-41.7672,-39.5032,-27.2428,-32.3625,-29.2294
13,-32.6328,-41.8229,-27.9496,-33.5343,-30.6212
14,-21.254,-41.1924,-26.8614,-32.4114,-29.9509
15,-8.75911,-37.3795,-24.0871,-28.9911,-27.2855
16,3.61273,-30.4474,-19.9041,-23.5007,-22.8916
17,14.6346,-20.7774,-14.7306,-16.3858,-17.2085
18,23.2134,-9.0626,-9.08413,-8.27648,-10.8045
19,28.4986,3.72993,-3.52921,0.0659332,-4.3201
20,29.9658,16.4287,1.37863,8.81887,1.59631
21,27.4696,29.7545,7.14861,18.1276,8.35309
22,21.2576,42.4374,13.2037,27.0889,15.2746
23,11.9458,53.1449,18.9385,34.7895,21.6686
24,0.457667,60.6086,23.7794,40.3961,26.8957
25,-12.0676,63.7579,27.2423,43.2435,30.4333
26,-24.3878,61.8463,28.981,42.9088,31.9276
27,-35.2811,54.5588,28.8217,39.2666,31.2291
28,-43.6674,42.0868,26.7801,32.5156,28.4076
29,-48.7149,25.1589,23.0606,23.1754,23.7455
30,-49.923,5.02228,18.035,12.0508,17.7087
31,-47.172,-16.6302,12.2058,0.16478,10.9012
32,-40.7347,-37.7849,6.15615,-11.332,4.00344
33,-31.2494,-58.2766,0.490842,-22.2704,-2.29462
34,-19.6568,-75.9899,-4.22355,-32.5287,-9.36321
35,-7.10661,-88.8754,-9.51559,-41.047,-16.4955
36,5.15665,-95.162,-14.8561,-46.8866,-22.9782
37,15.9169,-93.561,-19.7109,-49.3294,-28.1631
38,24.1069,-83.4438,-23.5947,-47.9615,-31.5317
39,28.9146,-64.9705,-26.119,-42.729,-32.7471
40,29.8632,-39.1529,-27.0314,-33.962,-31.6878
41,26.8585,-7.83816,-26.2407,-22.3605,-28.4598
42,20.1986,26.3918,-23.8259,-8.94279,-23.3857
43,10.5439,60.4056,-20.0285,5.04006,-16.9731
44,-1.14807,92.7803,-15.2282,19.218,-9.86316
45,-13.7179,120.114,-9.90517,33.1831,-2.76691
46,-25.9191,139.17,-4.59158,45.5281,3.60603
47,-36.5415,147.215,0.181162,54.9376,10.6184
48,-44.5319,142.343,5.93579,60.3238,17.5689
49,-49.0977,123.749,12.0968,60.9469,23.7625
50,-49.7863,91.9204,18.0482,56.5064,28.5798
51,-46.5292,48.7174,23.1948,47.1933,31.5392
52,-39.6496,-2.67771,27.0218,33.6953,32.3447
53,-29.8297,-57.9445,29.1467,17.1528,30.9157
54,-18.0432,-113.944,29.3569,-0.932163,27.3951
55,-5.45913,-165.148,27.6315,-19.8281,22.135
56,6.67468,-205.958,24.1428,-38.686,15.6614
57,17.1548,-231.254,19.2399,-55.6183,8.6217
58,24.942,-236.953,13.413,-68.8353,1.7198
59,29.2641,-220.528,7.24483,-76.8296,-4.35408
60,29.6923,-181.406,1.35215,-78.5407,-10.9926
61,26.1843,-121.233,-3.67575,-73.4833,-17.5318
62,19.0879,-43.918,-9.33607,-61.8246,-23.3178
63,9.10686,44.5198,-15.0628,-44.4006,-27.7721
64,-2.76896,136.349,-20.2832,-22.6653,-30.4491
65,-15.3619,224.727,-24.4753,1.42324,-31.0813
66,-27.4231,300.47,-27.2199,26.5739,-29.6053
67,-37.7565,354.74,-28.2425,51.3248,-26.1688
68,-45.3373,379.963,-27.4408,73.1806,-21.1154
69,-49.4137,370.712,-24.8951,89.8113,-14.9504
70,-49.5814,324.464,-20.8598,99.2923,-8.29047
71,-45.8239,242.146,-15.7386,100.318,-1.80145
72,-38.5138,128.381,-10.0435,92.3635,3.86771
73,-28.3759,-8.59824,-4.34405,75.7747,10.1501
74,-16.4158,-157.416,0.789809,51.7791,16.4175
75,-3.81934,-306.374,6.84468,22.4057,22.0431
76,8.16411,-440.59,13.2151,-9.67688,26.4644
77,18.3463,-545.169,19.264,-42.3959,29.2393
78,25.7174,-606.688,24.3865,-73.5113,30.0903
79,29.5464,-614.691,28.0703,-99.8313,28.9322
80,29.4536,-563.026,29.9472,-118.484,25.8809
81,25.4482,-450.891,29.8293,-127.221,21.2415
